Entity,year,Total_CO2_emission,total_land_use,Total_water_use
China,2017,9838754028.261343,2012.7324479611602,395529.89
"United States",2017,5270748525.435833,6878.312965869421,996633.09
India,2017,2456954485.456873,224.4013686632,26669.62
Russia,2017,1647041080.833926,2984.92033079502,514038.05000000005
Japan,2017,1188122473.4869492,1891.5609874473002,351074.12
Germany,2017,797966400.1392046,3277.27662794952,623325.66
Iran,2017,685944664.3966886,1617.9482028416,226480.34
"South Korea",2017,640584969.1625392,3134.56659244946,544161.65
Indonesia,2017,584075458.2182004,605.51576610074,85560.70000000001
Canada,2017,571138877.4021367,3686.7343087935005,603377.3
Mexico,2017,492769503.2198901,2887.5758810780403,466502.20999999996
Brazil,2017,463839619.6870117,6659.319304683719,865849.5
"South Africa",2017,462812494.205637,3542.3141092304595,460112.95999999996
Turkey,2017,425329603.9808709,3235.5901783065997,334565.4
Australia,2017,417041277.9107658,8324.06127519356,999854.1200000001
"United Kingdom",2017,387387320.50982875,4194.16636882772,597821.36
Italy,2017,348991358.552772,3319.68379519296,591407.23
France,2017,346533494.8672917,4830.43810192362,677073.31
Poland,2017,336591062.5971421,1341.5974529774999,510809.02
Spain,2017,274427201.34580785,3238.2189673138405,665900.63
Pakistan,2017,211512375.29249457,1876.904479616,178376.69999999998
Argentina,2017,199552005.97137457,9513.420461511481,1092852.64
Vietnam,2017,184727120.36712787,2636.44492173224,479678.69000000006
Philippines,2017,131023970.25660531,1156.8061038457402,243715.63999999998
Myanmar,2017,25407005.782640774,2141.04490056364,383809.62
