Entity,Beef,Chicken,Pig,Mutton,Other,Total_Meat_Consumption
Argentina,2379627920,1855898880,470125899.99999994,56239360,43937000,4805829060
Australia,877684500.0000001,1171475250,637243200,247570950,55562099.99999999,2989536000
Brazil,7700249699.999999,9982267020,2836934100,124700400,105995340,20750146560
Canada,665951160,1433282640,898464720,36364680,367320,3034430520.0000005
China,7929302492.16,18302762741.760002,53473056053.76,4618321344,1776277440,86099720071.68001
France,1501115450,1484904700,2125553540,184154120,88834910,5384562720
Germany,1232430780,1609351260,4170096100,67779560,176061540,7255719239.999999
India,1017394513.92,2971862922.2400002,334669248,589017876.48,147254469.12,5060199029.76
Indonesia,738376312.32,1902840747.5200002,328167249.92,121739463.68,2646510.08,3093770283.5200005
Iran,421118280,2220148480,0,248475920,12907840,2902650519.9999995
Italy,944087440,1145525120,2655700980,53999860,112246900,4911560300
Japan,1171752570,2358805500,2727289170,19125450,12750300,6289722990
Mexico,1769337860,4057748040.0000005,2080032590.0000002,106060450,81105050,8094283990.000001
Myanmar,455356989.99999994,1621241710,933134840,99292380,0,3109025919.9999995
Pakistan,1792149719.9999998,1218329160,0,478183799.99999994,16632480,3505295160
Philippines,492209639.99999994,1458749510,1875234589.9999998,57845150.00000001,10517300,3894556189.9999995
Poland,123347250,1149975900,2087794530,1138590,3795300,3366051570
Russia,1966110300,4508519400,3881285100.0000005,200831399.99999997,590851800,11147598000
"South Africa",944655700,2034686899.9999998,238871900.00000003,164188800,38766800,3421170100
"South Korea",806805840,853303200,1939604160,7153440.000000001,5620560,3612487199.9999995
Spain,594282780,1417602330,2501212140,90495180,72769320,4676361750
Turkey,1046396400,1674234240,0,429914800,1622320,3152167760
"United States",12054151503.359999,18100732354.56,9759051459.84,165793345.92000002,263318843.52,40343047507.2
Vietnam,1219406890,1166430330,3570241740,17974190,17028180,5991081330
"United Kingdom",1187740600,2131260380,1648824170,284257020,79405130,5331487300
