dates,Entity,Total_Meat_Consumption
1992-01-01,Russia,9075545000.32
1993-01-01,Russia,8725874940.0
1994-01-01,Russia,8154744090.24
1995-01-01,Russia,7873818664.96
1996-01-01,Russia,7390688130.56
1997-01-01,Russia,7218087800.0
1998-01-01,Russia,6939229113.28
1999-01-01,Russia,6008864400.0
2000-01-01,Russia,5835702981.12
2001-01-01,Russia,6646977344.639999
2002-01-01,Russia,7266608640.0
2003-01-01,Russia,7483619663.999998
2004-01-01,Russia,7204049600.000002
2005-01-01,Russia,7488184640.0
2006-01-01,Russia,7993283665.920002
2007-01-01,Russia,8614584580.0
2008-01-01,Russia,9291129621.12
2009-01-01,Russia,9137096760.0
2010-01-01,Russia,9379222752.96
2011-01-01,Russia,9517450219.84
2012-01-01,Russia,10477003440.0
2013-01-01,Russia,10798395901.44
2014-01-01,Russia,10621303712.64
2015-01-01,Russia,10598402915.2
2016-01-01,Russia,10703862589.44
2017-01-01,Russia,11147598000.0
2018-01-01,Russia,11455566195.345205
2019-01-01,Russia,11573170201.536306
2020-01-01,Russia,11637969863.19776
2021-01-01,Russia,11722452507.611023
2022-01-01,Russia,11828033199.064758
2023-01-01,Russia,11939438314.948484
2024-01-01,Russia,12049535986.841879
2025-01-01,Russia,12158521068.774677
2026-01-01,Russia,12268063534.811445
2027-01-01,Russia,12378871793.672598
2028-01-01,Russia,12490899866.932459
2029-01-01,Russia,12603977844.95517
2030-01-01,Russia,12718047216.328238
2031-01-01,Russia,12833126586.04738
